"gene_id","ensembl_id_clean","entrez_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","direction"
"ENSG00000274168.1","ENSG00000274168","106479436","RN7SL585P",6.62140220481548,4.95880034453776,1.7601462222643,2.81726613494566,0.00484343734510048,0.0100741090661579,"Significant","Upregulated"
"ENSG00000233973.6","ENSG00000233973","101927295","LINC01360",11.6657801168665,5.77584248654657,2.05029728847046,2.81707561094977,0.00484631150649683,0.0100793048065887,"Significant","Upregulated"
"ENSG00000163833.7","ENSG00000163833","51725","FBXO40",191.917356006961,-1.19157164456496,0.423024331514629,-2.81679221688873,0.00485058951972941,0.0100878106849835,"Significant","Downregulated"
"ENSG00000253872.1","ENSG00000253872",NA,NA,51.9539369864768,2.07913981630233,0.738135967110416,2.81674367453133,0.00485132264006878,0.010088552362212,"Significant","Upregulated"
"ENSG00000215124.2","ENSG00000215124",NA,NA,211.659157547577,1.54689278307438,0.5492514550395,2.81636538033956,0.00485703933691244,0.0101000485854342,"Significant","Upregulated"
"ENSG00000237542.1","ENSG00000237542","107075271","MTCO3P17",8.01139046509819,5.23335701255115,1.85868224888067,2.81562758545888,0.0048682062649383,0.0101213062090458,"Significant","Upregulated"
"ENSG00000263572.2","ENSG00000263572","102466866","MIR7853",6.13359864146768,4.748613313378,1.68656870735735,2.815546910519,0.00486942873183852,0.010123455062328,"Significant","Upregulated"
"ENSG00000248676.1","ENSG00000248676",NA,NA,103.319752121038,1.31187724811457,0.465951404602888,2.81548083159579,0.00487043023226633,0.0101251443813809,"Significant","Upregulated"
"ENSG00000238886.1","ENSG00000238886","100113379","SNORD121A",46.2073684422688,1.80653481014737,0.641695579976443,2.81525207048129,0.00487389880372778,0.0101315691668042,"Significant","Upregulated"
"ENSG00000226263.1","ENSG00000226263",NA,NA,197.356143448933,1.13550194806833,0.403437133794552,2.81456973825959,0.00488425788704187,0.0101515279690653,"Significant","Upregulated"
"ENSG00000249948.6","ENSG00000249948","57733","GBA3",2186.3387843209,-1.02778090773832,0.365189693582719,-2.81437544870229,0.00488721120797788,0.0101572722817789,"Significant","Downregulated"
"ENSG00000214318.3","ENSG00000214318",NA,NA,122.748936433736,1.56963271380284,0.557742502273266,2.81426053672667,0.00488895870095277,0.0101601161277129,"Significant","Upregulated"
"ENSG00000274328.1","ENSG00000274328",NA,NA,36.0501930905055,3.04079108616407,1.08062222405562,2.81392610523209,0.00489404769475193,0.0101695089006687,"Significant","Upregulated"
"ENSG00000227736.1","ENSG00000227736","107075155","MTCO3P16",27.7562435505316,3.09987749614171,1.10175256907901,2.81358771755169,0.00489920176593725,0.0101794293428492,"Significant","Upregulated"
"ENSG00000231144.1","ENSG00000231144","100874490","EEF1A1P40",8.54049206384806,5.32505211341838,1.89268800396226,2.81348648180292,0.00490074466798215,0.010182240375533,"Significant","Upregulated"
"ENSG00000255605.1","ENSG00000255605","107984377","LOC107984377",24.1130514754939,2.4050083446573,0.854822703987543,2.81345866626906,0.00490116867270796,0.010182726555835,"Significant","Upregulated"
"ENSG00000206638.1","ENSG00000206638","106481910","RNU6-672P",8.80789907297468,4.1859534369562,1.48795813397733,2.8132199027449,0.00490480961792273,0.0101895009901816,"Significant","Upregulated"
"ENSG00000223870.1","ENSG00000223870",NA,NA,4.99033311456136,4.55012323010067,1.61796158452588,2.81225665282653,0.00491952323657242,0.010218087330222,"Significant","Upregulated"
