"gene_id","ensembl_id_clean","entrez_id","gene_symbol","logFC","logCPM","LR","PValue","FDR","significance","direction"
"ENSG00000201754.1","ENSG00000201754","26797","SNORD52",1.40741589336043,-2.03545934432436,93.5039965765253,4.05381127492529e-22,3.41068580075271e-21,"Significant","Upregulated"
"ENSG00000138182.14","ENSG00000138182","9585","KIF20B",1.2376687136251,3.61852618981041,93.4782382265008,4.10691289860106e-22,3.45421198456956e-21,"Significant","Upregulated"
"ENSG00000230623.4","ENSG00000230623",NA,NA,3.77914112951299,-0.102791039206406,93.4717855767781,4.12032385194887e-22,3.4643375603682e-21,"Significant","Upregulated"
"ENSG00000165168.7","ENSG00000165168","1536","CYBB",-1.37416018718509,6.87559184218264,93.4251042762703,4.21865815831654e-22,3.54229796605701e-21,"Significant","Downregulated"
"ENSG00000170044.8","ENSG00000170044","131368","ZPLD1",4.75119207075785,-0.476642156343661,93.4159989504278,4.23811040177408e-22,3.55744845526575e-21,"Significant","Upregulated"
"ENSG00000211897.8","ENSG00000211897","3502","IGHG3",2.98083345849312,10.5076847495934,93.4069191537769,4.25759744214654e-22,3.57261807300625e-21,"Significant","Upregulated"
"ENSG00000224126.2","ENSG00000224126",NA,NA,1.74372346637831,2.21762008825901,93.3954513622895,4.28233772083138e-22,3.59099120269915e-21,"Significant","Upregulated"
"ENSG00000280587.1","ENSG00000280587","731656","LINC01348",2.67438437383114,0.725978346561279,93.3727674926806,4.33169956593475e-22,3.63117803254604e-21,"Significant","Upregulated"
"ENSG00000165188.13","ENSG00000165188","138065","RNF183",4.10693724614301,1.47336562158466,93.3382233585778,4.40796569240166e-22,3.69265845280191e-21,"Significant","Upregulated"
"ENSG00000245311.2","ENSG00000245311","101928646","BMAL2-AS1",2.61640731842964,-0.846560715314946,93.3305442374946,4.42510120473844e-22,3.70578375848892e-21,"Significant","Upregulated"
"ENSG00000109881.16","ENSG00000109881","91057","CCDC34",1.38547243007012,3.35272561988317,93.3202734530877,4.44812405953715e-22,3.72382905766755e-21,"Significant","Upregulated"
"ENSG00000183644.13","ENSG00000183644","399949","HOATZ",-2.52214584347668,1.62706026004132,93.2794103267852,4.54091502058832e-22,3.79773313530423e-21,"Significant","Downregulated"
"ENSG00000084628.9","ENSG00000084628","79570","NKAIN1",4.73284615796567,-0.21850859473481,93.2276895049534,4.66114259585531e-22,3.89699302658115e-21,"Significant","Upregulated"
"ENSG00000111669.14","ENSG00000111669","7167","TPI1",1.05107420248086,8.47256049886718,93.1100703171163,4.94654099830088e-22,4.13423414982122e-21,"Significant","Upregulated"
